duration,director_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,facenumber_in_poster,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes,other_actors_facebook_likes,imdb_binned_score,critic_review_ratio,content_rating_G,content_rating_GP,content_rating_M,content_rating_NC-17,content_rating_Not Rated,content_rating_PG,content_rating_PG-13,content_rating_Passed,content_rating_R,content_rating_TV-14,content_rating_TV-G,content_rating_TV-PG,content_rating_Unrated,content_rating_X
178.0,0.0,1000.0,760505847.0,886204,0.0,237000000.0,2009.0,7.9,1.78,33000,1791.0,3,0.23673870333988212,0,0,0,0,0,0,1,0,0,0,0,0,0,0
169.0,563.0,40000.0,309404152.0,471220,0.0,300000000.0,2007.0,7.1,2.35,0,6000.0,3,0.24394184168012925,0,0,0,0,0,0,1,0,0,0,0,0,0,0
148.0,0.0,11000.0,200074175.0,275868,1.0,245000000.0,2015.0,6.8,2.35,85000,554.0,3,0.6056338028169014,0,0,0,0,0,0,1,0,0,0,0,0,0,0
164.0,22000.0,27000.0,448130642.0,1144337,0.0,250000000.0,2012.0,8.5,2.35,164000,46000.0,4,0.30099962976675304,0,0,0,0,0,0,1,0,0,0,0,0,0,0
132.0,475.0,640.0,73058679.0,212204,1.0,263700000.0,2012.0,6.6,2.35,24000,1162.0,3,0.6260162601626016,0,0,0,0,0,0,1,0,0,0,0,0,0,0
156.0,0.0,24000.0,336530303.0,383056,0.0,258000000.0,2007.0,6.2,2.35,0,15000.0,3,0.20609884332281808,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100.0,15.0,799.0,200807262.0,294810,1.0,260000000.0,2010.0,7.8,1.85,29000,837.0,3,0.8372093023255814,0,0,0,0,0,1,0,0,0,0,0,0,0,0
141.0,0.0,26000.0,458991599.0,462669,4.0,250000000.0,2015.0,7.5,2.35,118000,40000.0,3,0.5684870188003581,0,0,0,0,0,0,1,0,0,0,0,0,0,0
153.0,282.0,25000.0,301956980.0,321795,3.0,250000000.0,2009.0,7.5,2.35,10000,21000.0,3,0.3854059609455293,0,0,0,0,0,1,0,0,0,0,0,0,0,0
183.0,0.0,15000.0,330249062.0,371639,0.0,250000000.0,2016.0,6.9,2.35,197000,6000.0,3,0.2229953611663353,0,0,0,0,0,0,1,0,0,0,0,0,0,0
